FTSE Emerging Markets UCITS ETF (USD)   Distributing (VFEM)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Alibaba Group Holding Ltd. ADR""","=""7.82493%""","=""$162,966,702""","=""649,218""",
"=""Tencent Holdings Ltd.""","=""6.99617%""","=""$145,706,374""","=""2,114,707""",
"=""Taiwan Semiconductor Manufacturing Co. Ltd.""","=""6.18473%""","=""$128,806,909""","=""8,868,000""",
"=""Meituan Dianping Class B""","=""1.57417%""","=""$32,784,538""","=""1,324,058""",
"=""Reliance Industries Ltd.""","=""1.52268%""","=""$31,712,167""","=""1,147,727""",
"=""Naspers Ltd.""","=""1.38534%""","=""$28,852,022""","=""156,102""",
"=""China Construction Bank Corp. Class H""","=""1.21345%""","=""$25,272,050""","=""34,483,000""",
"=""Ping An Insurance Group Co. of China Ltd.""","=""1.03610%""","=""$21,578,501""","=""2,037,000""",
"=""JD.com Inc. ADR""","=""0.95734%""","=""$19,938,139""","=""312,559""",
"=""Industrial & Commercial Bank of China Ltd. Class H""","=""0.83598%""","=""$17,410,642""","=""29,462,000""",
"=""Infosys Ltd.""","=""0.82257%""","=""$17,131,368""","=""1,326,750""",
"=""Housing Development Finance Corp. Ltd.""","=""0.70762%""","=""$14,737,313""","=""618,724""",
"=""Vale SA""","=""0.68178%""","=""$14,199,082""","=""1,217,552""",
"=""China Mobile Ltd.""","=""0.64315%""","=""$13,394,558""","=""1,955,000""",
"=""MediaTek Inc.""","=""0.62842%""","=""$13,087,950""","=""546,940""",
"=""NetEase Inc. ADR""","=""0.60322%""","=""$12,563,000""","=""27,405""",
"=""Baidu Inc. ADR""","=""0.57658%""","=""$12,008,177""","=""100,571""",
"=""Hon Hai Precision Industry Co. Ltd.""","=""0.56673%""","=""$11,803,061""","=""4,410,265""",
"=""Sberbank of Russia PJSC""","=""0.54160%""","=""$11,279,631""","=""3,785,509""",
"=""TAL Education Group ADR""","=""0.50830%""","=""$10,586,250""","=""135,426""",
"=""Lukoil Pjsc""","=""0.50167%""","=""$10,448,121""","=""152,544""",
"=""Tata Consultancy Services Ltd.""","=""0.48747%""","=""$10,152,272""","=""332,917""",
"=""Hindustan Unilever Ltd.""","=""0.46513%""","=""$9,687,168""","=""327,943""",
"=""Bank of China Ltd. Class H""","=""0.46062%""","=""$9,593,249""","=""28,596,000""",
"=""Gazprom PJSC""","=""0.45673%""","=""$9,512,102""","=""3,878,238""",
"=""Pinduoduo Inc. ADR""","=""0.44914%""","=""$9,354,145""","=""101,897""",
"=""B3 SA - Brasil Bolsa Balcao""","=""0.44143%""","=""$9,193,426""","=""754,400""",
"=""Itau Unibanco Holding SA Preference Shares""","=""0.44079%""","=""$9,180,225""","=""1,777,256""",
"=""Xiaomi Corp. Class B""","=""0.40207%""","=""$8,373,744""","=""4,379,095""",
"=""Qatar National Bank QPSC""","=""0.38941%""","=""$8,110,085""","=""1,640,490""",
"=""Saudi Basic Industries Corp.""","=""0.37915%""","=""$7,896,394""","=""333,123""",
"=""Kweichow Moutai Co. Ltd. Class A""","=""0.37707%""","=""$7,853,033""","=""32,650""",
"=""Bank Central Asia Tbk PT""","=""0.36421%""","=""$7,585,233""","=""3,549,500""",
"=""Petroleo Brasileiro SA Preference Shares""","=""0.35037%""","=""$7,296,942""","=""1,711,100""",
"=""Al Rajhi Bank""","=""0.34282%""","=""$7,139,756""","=""454,617""",
"=""New Oriental Education & Technology Group Inc. ADR""","=""0.34121%""","=""$7,106,317""","=""50,687""",
"=""America Movil SAB de CV""","=""0.33561%""","=""$6,989,694""","=""11,040,234""",
"=""China Merchants Bank Co. Ltd. Class H""","=""0.31725%""","=""$6,607,145""","=""1,416,506""",
"=""Wuxi Biologics Cayman Inc.""","=""0.31331%""","=""$6,525,248""","=""316,867""",
"=""PTT PCL (Foreign)""","=""0.31243%""","=""$6,506,775""","=""5,202,500""",
"=""China Life Insurance Co. Ltd. Class H""","=""0.30772%""","=""$6,408,694""","=""2,781,000""",
"=""Bharti Airtel Ltd.""","=""0.29885%""","=""$6,224,021""","=""839,208""",
